Model Name,Model Year,Mile/Galon,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine Type,Price
Y Performance,2022,34943,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF3NF388369,44985
3 Performance,2022,11820,–,–,All-wheel Drive,Automatic,Electric,5YJ3E1EC3NF259792,45995
S P85D,2015,107578,White,Black,All-wheel Drive,Automatic,Dual AC Electric Motors,5YJSA1H28FFP73200,22995
3 Performance,2020,24170,Gray,White/Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EC5LF719225,39869
X Performance,2019,19630,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE42KF162398,68515
X Long Range Dual Motor All-Wheel Drive,2021,25603,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE29MF308783,68888
S Long Range Dual Motor All-Wheel Drive,2021,8287,–,–,All-wheel Drive,Automatic,Electric Motor,5YJSA1E56MF440232,66966
S Plaid Tri Motor All-Wheel Drive,2021,25997,–,–,All-wheel Drive,Automatic,Electric ZEV 1020hp,5YJSA1E61MF431057,77777
S Long Range Dual Motor All-Wheel Drive,2021,28150,–,–,All-wheel Drive,Automatic,Electric Motor,5YJSA1E24MF424875,61961
X Plaid Tri Motor All-Wheel Drive,2022,3874,–,–,All-wheel Drive,Automatic,Electric ZEV,7SAXCBE68NF332715,91991
X 100D,2018,51154,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric ZEV,5YJXCDE23JF089833,48888
3 Long Range,2022,1919,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB0NF323908,41941
3 Performance,2020,13712,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC2LF784498,39939
X 75D,2018,36209,Pearl White Multi-Coat,Cream,All-wheel Drive,Automatic,Electric ZEV,5YJXCDE23JF113502,47777
3 Long Range,2020,34473,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB3LF600550,33933
Y Long Range Dual Motor All-Wheel Drive,2023,5327,–,–,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEE1PA059029,49949
Y Long Range,2023,2500,White,Black,All-wheel Drive,SINGLE SPEED FIXED GEAR,Electric,7SAYGDEE7PA071041,50995
S P100D,2017,47272,Black,Ultra White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E47HF189072,49855
S 75D,2017,82070,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E20HF187419,33990
X Plaid,2022,3723,Black,White,All-wheel Drive,1-Speed Automatic,Electric,7SAXCBE62NF333617,99477
S 75D,2017,52965,GRAY,BLACK,All-wheel Drive,Automatic,ELECTRIC MOTOR,5YJSA1E23HF199855,33995
X Performance Dual Motor All-Wheel Drive,2020,51308,Solid Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCBE46LF286374,59959
X Long Range Dual Motor All-Wheel Drive,2020,32775,Gray,–,All-wheel Drive,Automatic,Electric Motor,5YJXCDE25LF282195,59959
S Plaid Tri Motor All-Wheel Drive,2022,10572,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric ZEV 1020hp,5YJSA1E68NF477437,87777
Y Performance Dual Motor All-Wheel Drive,2022,10940,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF0NF469569,48888
3 Performance,2020,31026,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC3LF627224,38895
X Plaid Tri Motor All-Wheel Drive,2022,6798,–,–,All-wheel Drive,Automatic,Electric ZEV,7SAXCBE61NF355592,93993
3 Performance,2022,15130,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1ECXNF166414,44944
Y Long Range,2021,34379,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE2MF208074,39775
S 75D,2018,53008,White,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E26JF281813,36855
Y Long Range,2021,41416,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9MF083817,38775
S Plaid,2021,23457,Black,Black / White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E63MF456140,82995
3 Base,2023,10608,Midnight Silver Metallic,Black,Rear-wheel Drive,Automatic,Electric,5YJ3E1EA8PF394414,36775
S Plaid,2021,51188,Deep Blue Metallic,Cream,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E67MF438109,72995
Y Long Range,2020,32607,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE1LF016708,38775
X ,2019,62993,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE29KF192142,47995
3 Standard Range Plus,2020,15885,Midnight Silver Metallic,White / Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EAXLF740862,31985
X P90D,2016,37409,Brown,–,All-wheel Drive,Automatic,Dual AC ElectricMotors HP,5YJXCDE49GF025922,77218
X 90D,2017,65307,Gray,–,All-wheel Drive,Automatic,Dual AC Electric Motors,5YJXCBE28HF054235,41999
X Long Range Dual Motor All-Wheel Drive,2020,20664,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE28LF296107,61480
S Plaid,2021,4415,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E62MF440608,86995
X Plaid,2022,5324,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAXCBE65NF333188,109841
3 Long Range,2019,35155,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6KF365818,34998
X Long Range,2019,47821,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE20KF192188,59500
S 75D,2017,67745,Midnight Silver Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E23HF211373,34980
X Long Range Dual Motor All-Wheel Drive,2020,30348,–,–,All-wheel Drive,Automatic,Electric Motor,5YJXCAE26LF277067,61961
3 Performance,2022,5728,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC0NF180872,46946
3 Performance,2020,32534,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1ECXLF742063,34775
S Long Range,2021,22698,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E28MF427455,59999
S 70D,2015,67736,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1S2XFF097325,27686
3 Long Range,2020,43657,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1LF668099,29995
X 90D,2016,76627,White,Ultra White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE22GF002334,38775
X 75D,2016,54243,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE24GF025152,37995
3 Standard Range Plus,2021,11508,Red Multi-Coat,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EA6MF843262,38995
S Base,2013,118927,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1AG3DFP12159,25777
X P90D,2016,84024,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE47GF004405,37987
X Plaid,2022,6950,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAXCBE65NF345387,94888
3 Long Range,2020,122347,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1LF787299,24950
X Long Range,2020,31175,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE22LF297834,58550
S 75D,2018,38285,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E27JF274045,42999
Y Performance,2021,19274,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF2MF209542,41997
3 Performance,2022,10878,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC5NF299615,45699
X ,2020,32967,Deep Blue Metallic,Cream,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE29LF264962,59980
X 90D,2016,77503,Titanium Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE23GF003949,38980
X ,2019,57166,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE20KF187946,49980
X 100D,2018,48539,Pearl White Multi-Coat,Cream,All-wheel Drive,Automatic,12-Cylinder Electric ZEV,5YJXCBE20JF117558,48888
3 Performance,2022,7610,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC9NF269131,45945
Y Performance Dual Motor All-Wheel Drive,2022,13166,–,–,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF0NF465067,47777
Y Long Range,2023,7308,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGAEE9PF673330,49990
S Base,2023,3159,Deep Blue Metallic,Cream,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E56PF505570,79990
X Plaid,2023,2180,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAXCBE6XPF400760,120991
3 Long Range,2019,35515,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7KF197011,32995
3 Long Range,2018,69910,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB4JF087421,29500
X Long Range,2019,31198,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE28KF158940,61000
3 Long Range,2019,74900,White,White,All-wheel Drive,A/T,425.0HP Electric Motor Electric Fuel System,5YJ3E1EB9KF393693,31500
X 100D,2018,43847,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE23JF091631,49987
X 100D,2018,61722,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE26JF139607,49987
3 Long Range,2020,46513,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2LF787988,32555
X P90D,2016,48987,Deep Blue Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE43GF000836,46995
3 Standard Range Plus,2019,58949,Pearl White Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA7KF484064,35900
Y Long Range,2021,28435,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE7MF261286,40799
X 90D,2016,108282,Titanium Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE23GF016409,36980
3 Performance,2020,26735,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC4LF713156,37980
3 Performance,2020,28478,NOT SPECIFIED,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC8LF623654,37980
X 100D,2018,21645,Gray,–,All-wheel Drive,Automatic,Electric ZEV,5YJXCDE26JF120590,55955
X 100D,2017,31393,Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE21HF043684,48897
3 Performance,2021,33874,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF036251,38775
3 Long Range,2018,125032,Midnight Silver Metallic,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA8JF028203,26950
X AWD 4dr P90D,2016,62744,Midnight Silver Metallic,Ultra White,All-wheel Drive,Automatic,ELECTRIC MOTOR,5YJXCBE47GF003213,41980
3 Long Range,2020,27597,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0LF787407,34700
3 Long Range,2020,45732,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6LF735313,32555
3 Long Range,2020,56712,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6LF710489,31777
3 Long Range,2020,43539,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1LF600272,35500
3 Long Range,2020,28178,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8LF664406,34555
3 Long Range,2019,57848,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB4KF199928,31981
3 Long Range,2020,39033,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5LF668168,33987
3 Long Range,2019,44811,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5KF211553,34900
3 Long Range,2019,90174,Pearl White Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA2KF338378,27995
3 Long Range,2022,15243,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EBXNF158594,37950
3 Long Range,2020,32848,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EBXLF664987,36998
3 Performance,2022,5332,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC4NF264094,46977
3 Long Range,2022,3886,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB7NF182271,41941
X Plaid Tri Motor All-Wheel Drive,2023,6058,–,–,All-wheel Drive,Automatic,Electric ZEV,7SAXCBE6XPF376654,94994
X Performance,2019,54019,–,–,All-wheel Drive,Automatic,Electric Motor,5YJXCAE45KF192317,57777
X Plaid,2022,18426,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAXCBE64NF335160,94790
X 100D,2019,133872,Deep Blue Metallic,Black,All-wheel Drive,Automatic,ELECTRIC,5YJXCDE28KF183627,38995
X 90D,2016,88626,Deep Blue Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE25GF005857,37775
X 75D,2017,76225,Black,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XHF073220,38775
3 Standard Range Plus,2020,36294,Pearl White Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA7LF792322,29562
3 Long Range,2020,44747,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB4LF637347,29995
X 75D,2018,68917,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE23JF136729,40950
3 Long Range,2018,53315,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8JF068354,29985
3 Standard Range Plus,2021,14938,Pearl White Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EAXMF961377,35985
3 Long Range,2020,32167,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB9LF783016,33983
3 Long Range,2018,70386,Gray,Black,Rear-wheel Drive,Automatic,AC Electric Motor,5YJ3E1EA5JF030605,26977
3 Long Range,2020,33085,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB9LF712043,33777
3 Long Range,2019,32167,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB5KF520911,33980
3 Long Range,2021,45559,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2MF990185,35985
X 75D,2016,78262,Deep Blue Metallic,Ultra White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE20GF021504,38995
X 75D,2018,27367,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE29JF100026,48716
X P90D,2016,49616,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE49GFS00300,42995
3 Long Range,2021,27592,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2MF901991,37000
S 75D,2016,30822,Solid Black,Beige,All-wheel Drive,Automatic,Electric Motor,5YJSA1E28GF168857,35891
S Base,2013,150670,Blue,Tan,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1CG0DFP24976,18950
S Performance,2020,17190,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E49LF396166,59980
S Performance,2019,62745,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E43KF336818,47980
S 90D,2016,103553,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E24GF147777,29980
3 Long Range,2018,52610,Pearl White Multi,–,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EAXJF017297,30966
3 Long Range,2022,40810,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2NF185630,33500
S Performance,2020,48588,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E46LF378658,51775
Y Performance,2022,35932,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF0NF387616,46995
S 70,2016,73242,Deep Blue Metallic,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1E15GF130574,25995
S 60D,2016,65226,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E2XGF174496,30726
S Plaid,2022,4721,Deep Blue Metallic,Black / White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64NF488418,86775
3 Long Range,2018,30267,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3JF171035,33983
S 75D,2016,90075,Blue,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29GF158225,29750
S 100D,2017,38354,Red Multi,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22HF189155,40980
X 100D,2018,20874,Gray,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE22JF141120,63998
S P100D,2018,28803,Pearl White Multi,White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E41JF285768,58900
S Performance,2012,75841,White,Tan,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1CPXCFP01820,26995
S 85D,2015,28605,White,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1H29FFP73559,34900
S 100D,2018,50757,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E20JF272797,42898
S 85D,2015,86361,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1H22FFP78585,28485
Y Long Range,2021,22275,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE0MF251456,44980
Y Performance,2020,16413,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF0LF027949,44980
Y Long Range Dual Motor All-Wheel Drive,2023,3620,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEE9PA038199,49949
S Long Range Dual Motor All-Wheel Drive,2021,29599,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E29MF423883,61961
Y Performance Dual Motor All-Wheel Drive,2023,882,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,–,7SAYGDEF0PF808141,56991
S Base,2022,14659,Pearl White Multi,Black / White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E56NF477492,73990
Y Long Range,2020,27458,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE8LF040469,38995
S Long Range,2020,49651,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E21LF410804,46775
Y Long Range,2021,35946,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE7MF145277,39981
Y Standard Range,2021,69689,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJYGDED0MF106375,36775
S 100D,2018,53726,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF263290,42800
Y Long Range,2022,38395,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE3NF321651,41777
Y Long Range,2020,50182,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE6LF047808,36986
Y Standard Range,2021,55437,Gray,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJYGDED0MF125878,37550
Y Long Range,2020,39539,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEEXLF043969,38550
S P90D,2016,55643,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E49GF125873,36500
Y Long Range,2021,46968,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE2MF060993,40590
Y Long Range,2022,11451,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE5NF460597,44995
S Plaid,2022,16000,White,White,All-wheel Drive,1-Speed A/T,1020.0HP Electric Motor Electric Fuel System,5YJSA1E69NF460923,84500
S 90D,2016,62131,Red Multi-Coat,Beige,All-wheel Drive,Automatic,Electric Motor,5YJSA1E22GF145414,34885
S P90D,2015,70095,Gray Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E48FF108349,33980
