Model Name,Model Year,Mile/Galon,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine Type,Price
X P90D,2016,73184,Deep Blue Metallic,Ultra White,AWD,1-Speed Automatic,Electric,5YJXCBE47GF003731,41775
3 Performance,2021,45291,Pearl White Multi,White / Black,AWD,1-Speed Automatic,Electric,5YJ3E1EC8MF059652,37995
3 Long Range,2018,48915,Silver Metallic,Black,AWD,1-Speed Automatic,Electric,5YJ3E1EB4JF065760,28995
3 Performance,2018,70199,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5JF084995,31775
Y Long Range,2020,45009,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF028461,37775
X P100D,2017,68254,Pearl White Multi,Black,AWD,1-Speed Automatic,Electric,5YJXCDE43HF040126,49995
3 Mid Range,2018,85473,Deep Blue Metallic,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA1JF005586,24775
Y Long Range,2022,19127,Midnight Silver Metallic,Black,AWD,1-Speed Automatic,Electric,7SAYGDEE7NF353521,43775
3 Performance,2019,82597,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3KF440331,29995
X Base,2022,13469,Gray,–,AWD,1-Speed Automatic,Electric,7SAXCBE50NF364906,ot Priced
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
